id,pred_classes
1070378532260470789t,side-effect
973746711964372993t,side-effect
1043031076787040257t,side-effect
1066338147527741440t,side-effect
963522018544152576t,none
1027180081997930501t,side-effect
1015587373537562625t,pharma
1010148037828726784t,side-effect
1024938906750537728t,side-effect
1087794890942099457t,side-effect
1096050258277224449t,none
1109166251765571589t,pharma
1164355472469704704t,ingredients
1049860045423435776t,pharma ineffective
973082796859232256t,ingredients
1125356654483009537t,pharma ingredients
1026937551309942784t,none
1123909055599214598t,rushed ineffective
1071079276433289216t,conspiracy
999794111996727297t,mandatory
948219542442008576t,pharma ineffective
1057586435564417025t,ineffective
974170030106492928t,ineffective
951940073934770176t,ineffective
1109958380301500417t,ineffective
1137165623514075138t,side-effect ineffective
1148976649624535042t,conspiracy
1030265559395573761t,side-effect ineffective
1164194599293710338t,side-effect ineffective
1125215271373942784t,ineffective
1054786806183485440t,pharma
967234030281216000t,pharma
1160964931128369153t,pharma
1088393073023950848t,pharma
1014717937825898496t,mandatory
1142464446809272320t,pharma side-effect
1061268802820849667t,pharma side-effect
1170970178298867713t,pharma conspiracy side-effect
1018015755751903232t,pharma
1042020166157185024t,pharma side-effect ineffective
1128845248921264128t,side-effect
991498571718459392t,none
1065658865780490242t,none
970747474024464384t,none
1129518608936136704t,unnecessary
1090264312130678784t,unnecessary
985914904145117185t,none
1058040977238028288t,unnecessary ineffective
1082408908579311618t,none
1106341395533627392t,ineffective
1205901360497119233t,mandatory
1133439987372896256t,mandatory
964534834164051968t,mandatory
1038275422289620993t,mandatory side-effect
1193715600574554112t,mandatory
1180707844787712001t,unnecessary mandatory ineffective
1006895910058582016t,mandatory
1136739300454699008t,mandatory pharma
1068903986693095424t,mandatory side-effect ineffective
1041195794416644096t,mandatory
1207325524588212224t,conspiracy
1008572015685431296t,pharma conspiracy
955030774738284544t,conspiracy
1208996212248104960t,conspiracy
1083126206491385856t,conspiracy
968502750597263360t,rushed
1102396138349518848t,side-effect
1075228335440048129t,conspiracy
1203827326959665153t,conspiracy side-effect
967234030281216000t,pharma
1179124179901112320t,ingredients ineffective
1098984296679985152t,side-effect
1108875016618344450t,ingredients side-effect
1026957912206401538t,ingredients
1195741156178644993t,ingredients religious
1043698665871806464t,ingredients
1110307266614431746t,side-effect
1187346523073449984t,ingredients
1176730616131280896t,ingredients
1173979237855846400t,ingredients
1138823336853721089t,side-effect
1149497384595939329t,rushed side-effect
1104813287911444480t,ingredients side-effect
1022525699213721602t,pharma
991770103229403136t,mandatory side-effect
1056924182884188160t,rushed
1140676144053678080t,rushed
1030927060171145218t,rushed
1115683769430753282t,none
1071832076138237952t,political
1122709949640056833t,side-effect
1140338704717946881t,political
1018015755751903232t,pharma
1046052957983305731t,pharma
1080129483007377408t,political side-effect
1171190611237429248t,none
1100086196464742402t,political
1112830830190186496t,conspiracy political
1087603081846685697t,political
1008742236035715074t,ingredients religious
1137791624015224832t,ingredients side-effect religious
1207315349915484160t,side-effect
1109868805642178563t,none
983341327214661633t,ingredients
1032725464333279232t,religious
1124303796505649152t,political
1137028855842189313t,religious
1059752535517319170t,ingredients religious
1177542711047532546t,side-effect
